id,value
id_0,24.0403985641
id_1,64.1339014089
id_2,19.9811825821
id_3,26.8999166779
id_4,9.51140416135
id_5,27.8866082682
id_6,40.7700873935
id_7,15.8837385074
id_8,47.7183585319
id_9,31.3426414881
id_10,36.5196430075
id_11,59.1229331691
id_12,33.2346906724
id_13,35.329634169
id_14,26.6354836762
id_15,12.7575825054
id_16,48.0880660057
id_17,21.3038668242
id_18,14.5129445
id_19,15.7630462774
id_20,13.8758063472
id_21,27.943801575
id_22,38.1849363078
id_23,11.4936783483
id_24,61.3796962515
id_25,44.9314285842
id_26,23.5517042896
id_27,8.64691756022
id_28,28.6049965017
id_29,33.4048228315
id_30,14.0030735511
id_31,10.1674049567
id_32,15.9174272411
id_33,7.32845081819
id_34,14.8769851126
id_35,42.3953498292
id_36,20.2686108781
id_37,26.3506637863
id_38,3.34380887736
id_39,60.0078276672
id_40,43.920222873
id_41,22.6784287612
id_42,52.5544286022
id_43,18.0782344881
id_44,40.7533022925
id_45,48.53029604
id_46,58.3990063662
id_47,40.4560635685
id_48,54.1095045004
id_49,35.5472916301
id_50,27.9222899302
id_51,21.0061720068
id_52,40.5381596694
id_53,22.8796467775
id_54,35.4551539996
id_55,37.5352024143
id_56,23.0435907609
id_57,20.5036528186
id_58,34.1851621178
id_59,30.0843529103
id_60,9.58195451354
id_61,23.4185912122
id_62,29.5904477083
id_63,51.0455478113
id_64,49.5579941183
id_65,26.2156742121
id_66,35.2362625433
id_67,49.9974946166
id_68,29.0752768454
id_69,35.5272062155
id_70,65.2111632129
id_71,54.0131300721
id_72,43.060383186
id_73,13.9859534764
id_74,12.1051811703
id_75,33.3910738704
id_76,62.9544401303
id_77,3.17727299345
id_78,39.632516256
id_79,40.4279540518
id_80,7.94026675072
id_81,19.5905252679
id_82,5.66496520405
id_83,30.2948618027
id_84,6.93707220572
id_85,6.14687392078
id_86,15.6595810412
id_87,11.1142769952
id_88,19.9048706683
id_89,19.378122237
id_90,32.3090879505
id_91,9.89391776046
id_92,11.8353012261
id_93,10.7553485005
id_94,34.4741044291
id_95,15.6321077843
id_96,16.4974846413
id_97,8.93438082418
id_98,8.74336710552
id_99,5.58180720847
id_100,9.28661907585
id_101,17.5442887024
id_102,9.35785932656
id_103,10.2071230905
id_104,11.0226279056
id_105,33.6511283856
id_106,20.7513361994
id_107,8.71322458748
id_108,16.9467230995
id_109,14.9784902721
id_110,9.42497973508
id_111,10.7052100883
id_112,16.1065154991
id_113,21.5497329862
id_114,18.5380267633
id_115,15.3836622373
id_116,9.25658597327
id_117,39.8971502882
id_118,23.0361799394
id_119,3.11818050599
id_120,0.988944245393
id_121,10.7255639003
id_122,9.72994584545
id_123,10.1833794395
id_124,7.53091540143
id_125,22.8793688386
id_126,22.1103280087
id_127,8.03539186464
id_128,16.7760031057
id_129,12.8563482262
id_130,2.04830624145
id_131,29.209608357
id_132,15.8497589781
id_133,20.331254511
id_134,25.1067378597
id_135,22.4334433098
id_136,9.0392022759
id_137,21.6955732022
id_138,82.1779658406
id_139,62.0140799194
id_140,26.1223214267
id_141,15.9310506996
id_142,21.7312390092
id_143,7.07242811062
id_144,14.4878227949
id_145,10.044476454
id_146,15.869976926
id_147,7.45640514087
id_148,12.2149854287
id_149,16.5617672636
id_150,41.2762252984
id_151,18.7131246752
id_152,19.6674651343
id_153,12.1516590483
id_154,15.1904981326
id_155,21.6548909942
id_156,20.8533032118
id_157,35.8623346068
id_158,5.98264690844
id_159,18.1954883413
id_160,41.2691910048
id_161,16.8797987147
id_162,60.0907636867
id_163,14.1040188702
id_164,32.5869893137
id_165,23.2929580133
id_166,21.6254082562
id_167,2.29559796534
id_168,71.2414556699
id_169,17.8067088722
id_170,14.2520567557
id_171,72.0678147443
id_172,18.0651128447
id_173,3.82992542504
id_174,23.5502317299
id_175,1.82589873734
id_176,9.61609647889
id_177,18.820308821
id_178,20.396326859
id_179,23.2828014505
id_180,39.903942213
id_181,33.3452319028
id_182,28.3941978572
id_183,14.0246695632
id_184,5.52087128317
id_185,40.7605529201
id_186,33.9420647017
id_187,31.9394869581
id_188,13.4450492822
id_189,22.8897594822
id_190,12.6835012104
id_191,13.2900225001
id_192,26.9040501447
id_193,77.1008279469
id_194,32.0785611746
id_195,11.9834021196
id_196,63.0990973813
id_197,16.9089718593
id_198,17.5493279524
id_199,19.7862723403
id_200,158.548194413
id_201,21.8166617744
id_202,59.1289365231
id_203,6.04225648705
id_204,56.5432877971
id_205,31.2236816001
id_206,12.5082186235
id_207,15.7273657079
id_208,63.34235428
id_209,14.6378142355
id_210,39.0892398099
id_211,65.6451426513
id_212,17.9540882733
id_213,104.699968855
id_214,38.718780458
id_215,67.8087757821
id_216,100.856020444
id_217,70.5565820725
id_218,27.4690578459
id_219,20.3832614589
id_220,27.8445906186
id_221,54.1737678755
id_222,24.2819375348
id_223,38.6910541738
id_224,41.6723342775
id_225,8.86523252058
id_226,7.67091869208
id_227,87.3591700088
id_228,27.5048937069
id_229,2.07867920472
id_230,36.9070343812
id_231,13.5326742945
id_232,20.4098368716
id_233,6.85665185713
id_234,13.9721758797
id_235,21.3702592486
id_236,13.7762489294
id_237,5.00376884679
id_238,22.5491533487
id_239,15.0036358359
